#         t          x          y          z         vx         vy         vz
      0.000   -476.240    491.430   -412.430     44.340    101.220    141.390
      0.071   -472.950    498.960   -402.000     50.120    107.170    147.800
      0.143   -469.300    506.760   -391.420     58.020    111.730    151.010
      0.214   -465.060    515.050   -380.290     63.630    116.210    160.090
      0.286   -460.110    523.450   -368.490     72.270    124.960    171.100
      0.357   -454.650    532.660   -355.770     82.680    129.030    183.840
      0.429   -448.070    541.950   -342.360     94.750    133.400    191.160
      0.500   -440.870    551.420   -328.540    107.370    134.080    200.580
      0.571   -432.490    561.160   -313.830    130.800    138.140    212.260
      0.643   -422.360    570.900   -298.250    153.990    135.580    225.420
      0.714   -410.480    580.360   -281.690    178.990    127.220    236.460
      0.786   -396.660    588.870   -264.610    206.310    112.790    241.550
      0.857   -380.890    596.270   -247.150    237.720     93.210    246.680
      0.929   -362.650    601.820   -229.330    265.180     60.810    247.720
      1.000   -343.110    605.080   -212.160    279.320     31.320    237.270
      1.071   -323.070    606.310   -195.680    286.860      1.920    220.580
      1.143   -302.660    605.500   -180.480    286.500    -25.060    204.070
      1.214   -282.300    602.770   -166.520    281.220    -52.080    188.090
      1.286   -262.570    598.370   -153.540    273.300    -68.560    176.580
      1.357   -243.370    592.950   -141.400    263.400    -81.620    163.820
      1.429   -224.780    586.590   -130.120    255.680    -97.030    149.650
      1.500   -206.950    579.260   -119.870    243.950   -107.290    138.180
      1.571   -189.870    571.290   -110.330    236.130   -116.020    129.740
      1.643   -173.320    562.780   -101.470    226.570   -121.630    120.480
      1.714   -157.460    553.800    -93.080    217.750   -131.120    113.580
      1.786   -142.220    544.260    -85.330    208.030   -135.620    104.700
      1.857   -127.690    534.380    -78.130    200.150   -142.040     97.210
      1.929   -113.710    524.070    -71.440    191.400   -147.290     90.740
      2.000   -100.330    513.270    -65.180    183.370   -154.000     85.250
      2.071    -87.650    502.060    -59.300    171.790   -157.810     79.140
      2.143    -75.610    490.790    -53.850    167.740   -158.290     72.690
      2.214    -64.010    479.350    -48.910    156.480   -162.070     68.070
      2.286    -53.000    467.620    -44.160    151.550   -165.820     63.750
      2.357    -42.380    455.620    -39.850    145.210   -169.640     58.700
      2.429    -32.340    443.380    -35.710    136.430   -171.140     56.450
      2.500    -23.090    431.110    -31.740    125.530   -175.880     53.640
      2.571    -14.360    418.430    -28.160    117.840   -179.970     45.560
      2.643     -6.220    405.460    -24.940    109.840   -185.200     43.790
      2.714      1.380    392.090    -21.980    103.000   -186.630     37.940
      2.786      8.570    378.740    -19.460     98.370   -189.840     33.840
      2.857     15.190    364.900    -17.100     88.120   -196.560     29.940
      2.929     20.970    350.750    -15.010     77.680   -200.240     25.220
      3.000     26.210    336.340    -13.360     68.530   -203.590     22.210
      3.071     30.760    321.630    -11.840     57.250   -208.830     18.710
      3.143     34.550    306.560    -10.610     47.660   -213.640     15.190
      3.214     37.590    291.160     -9.790     36.070   -218.620      8.850
      3.286     39.550    275.340     -9.460     21.470   -222.900      3.880
      3.357     40.450    259.280     -9.320      5.770   -227.880     -0.200
      3.429     40.090    242.860     -9.490    -13.890   -231.290     -6.230
      3.500     38.430    226.070    -10.290    -31.270   -237.890    -13.840
      3.571     35.470    208.830    -11.440    -53.650   -244.330    -20.130
      3.643     30.840    191.180    -13.310    -79.500   -246.340    -32.970
      3.714     23.910    173.660    -16.030   -114.540   -243.020    -43.370
      3.786     14.530    156.630    -19.660   -151.500   -232.330    -56.600
      3.857      2.450    140.770    -24.260   -187.640   -210.100    -71.500
      3.929    -12.010    126.670    -29.660   -220.870   -179.010    -81.120
      4.000    -28.710    115.660    -35.720   -247.190   -128.840    -83.960
      4.071    -46.980    108.390    -41.630   -257.500    -70.840    -79.290
      4.143    -65.250    105.740    -46.980   -250.200     -2.360    -66.310
      4.214    -82.120    108.180    -50.990   -219.180     67.860    -48.810
      4.286    -96.080    115.230    -53.680   -166.610    123.500    -28.270
      4.357   -105.730    125.330    -54.950   -104.260    155.200     -8.280
      4.429   -111.070    137.020    -55.000    -46.970    168.810      6.280
      4.500   -112.630    149.090    -54.140      0.820    169.320     15.440
      4.571   -111.130    161.080    -52.670     39.010    165.360     24.920
