#         t          x          y          z         vx         vy         vz
      0.000     -2.080      2.950     -1.450      0.500      8.240     -1.660
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.143     -1.900      3.210     -1.550     -4.940     10.010     -0.940
      0.214     -2.160      3.410     -1.580     -3.480      7.770     -0.060
      0.286     -2.450      3.780     -1.610     -5.400      7.320      0.430
      0.357     -2.790      4.060     -1.530     -8.220      6.590      0.270
      0.429     -3.330      4.690     -1.620     -7.490     13.890     -2.270
      0.500     -3.570      5.570     -1.830     -3.390      9.310     -3.530
      0.571     -3.670      6.110     -2.040     -4.510      5.220     -2.430
      0.643     -3.950      6.550     -2.150     -7.030      4.840     -1.440
      0.714     -4.090      6.980     -2.210     -7.250      6.710     -1.650
      0.786     -4.460      7.460     -2.560     -8.200     10.830     -6.710
      0.857     -5.100      8.200     -3.180    -11.050      6.600     -9.050
      0.929     -5.920      9.070     -3.710    -12.660     10.710     -8.630
      1.000     -6.560     10.330     -4.310     -5.060     12.740     -8.260
      1.071     -6.940     11.050     -4.880     -5.400     11.460    -10.120
      1.143     -7.450     12.040     -5.610     -6.980     17.010    -12.040
      1.214     -7.680     13.410     -6.440     -5.770     14.310    -10.720
      1.286     -8.670     14.490     -7.170    -11.210     15.480    -10.380
      1.357     -9.400     15.850     -7.960     -9.690     19.780    -11.150
      1.429     -9.990     17.060     -8.840    -11.830     14.120    -13.780
      1.500    -10.780     18.250     -9.830    -12.130     20.770    -14.770
      1.571    -11.570     19.750    -10.860    -11.430     25.090    -16.180
      1.643    -12.410     21.480    -11.800    -13.100     25.990    -12.450
      1.714    -13.330     23.330    -12.740    -12.240     26.670    -13.400
      1.786    -14.150     25.190    -13.750    -14.370     25.060    -15.980
      1.857    -15.250     26.840    -14.850    -19.360     28.820    -15.140
      1.929    -16.690     29.210    -15.800    -22.340     30.750    -15.000
      2.000    -18.230     31.640    -16.880    -22.110     34.720    -16.310
      2.071    -19.840     34.290    -18.010    -21.380     41.330    -15.830
      2.143    -21.250     37.110    -19.200    -17.300     39.460    -16.610
      2.214    -22.640     40.030    -20.440    -18.690     39.760    -19.560
      2.286    -24.220     42.840    -21.840    -23.260     38.530    -20.410
      2.357    -25.930     45.900    -23.160    -22.300     42.810    -19.470
      2.429    -27.620     49.030    -24.490    -24.760     42.050    -19.560
      2.500    -29.420     52.260    -25.890    -25.340     50.670    -20.290
      2.571    -31.120     56.010    -27.360    -24.760     53.340    -21.440
      2.643    -33.120     59.790    -28.780    -26.030     55.130    -19.950
      2.714    -35.000     63.720    -30.280    -27.130     55.040    -21.310
      2.786    -36.910     67.720    -31.890    -29.050     60.840    -24.050
      2.857    -39.100     72.170    -33.610    -29.460     63.400    -23.870
      2.929    -41.230     76.770    -35.400    -30.900     66.910    -27.610
      3.000    -43.060     81.310    -37.460    -34.230     72.590    -29.120
      3.071    -45.410     87.240    -39.450    -30.420     79.330    -28.220
      3.143    -47.300     92.920    -41.540    -34.110     81.550    -30.020
      3.214    -49.650     99.160    -43.710    -36.980     85.050    -30.160
      3.286    -52.290    105.600    -45.730    -38.990     89.330    -29.260
      3.357    -55.290    112.450    -47.940    -42.770     97.060    -31.010
      3.429    -58.470    119.970    -50.170    -43.780    108.950    -32.050
      3.500    -61.670    128.290    -52.270    -40.390    122.870    -30.310
      3.571    -64.650    137.340    -54.360    -43.590    131.600    -28.340
      3.643    -67.790    147.430    -56.320    -43.020    149.540    -28.070
      3.714    -70.860    158.890    -58.070    -41.760    170.240    -21.190
      3.786    -74.050    171.840    -59.250    -42.380    192.800    -11.430
      3.857    -76.970    186.780    -59.380    -35.440    226.010      9.310
      3.929    -78.630    204.410    -57.230     -5.660    265.610     57.410
      4.000    -76.710    223.100    -50.340     58.870    246.400    129.580
      4.071    -71.240    238.350    -40.080     90.330    182.970    148.780
      4.143    -64.430    249.460    -30.160     86.110    125.780    130.060
      4.214    -58.650    257.230    -21.890     76.540     89.890    104.100
      4.286    -53.660    262.530    -15.130     67.530     64.990     85.470
      4.357    -49.110    266.340     -9.640     63.180     43.850     72.590
      4.429    -44.710    268.690     -5.010     59.460     25.640     62.790
      4.500    -40.550    270.040     -0.920     59.030     10.130     52.040
      4.571    -36.460    270.190      2.730     55.140     -7.020     48.970
      4.643    -32.660    269.380      6.070     51.170    -17.680     43.180
      4.714    -29.010    267.790      9.030     51.850    -28.310     37.910
      4.786    -25.430    265.330     11.650     50.640    -40.660     32.840
      4.857    -21.880    262.110     13.960     49.210    -51.210     30.540
      4.929    -18.520    258.140     16.070     45.630    -60.220     27.680
      5.000    -15.450    253.420     17.820     41.590    -69.930     21.510
      5.071    -12.620    248.030     19.160     37.660    -79.850     15.630
      5.143     -9.930    242.030     19.940     36.070    -86.590      5.790
      5.214     -7.450    235.570     19.960     32.790    -91.620     -7.540
      5.286     -5.140    228.910     18.950     32.580    -88.880    -21.380
      5.357     -2.670    222.400     17.450     37.860    -88.280    -23.650
      5.429     -0.120    215.550     15.890     37.270    -98.140    -21.560
      5.500      2.370    207.930     14.420     35.710   -114.650    -18.670
      5.571      4.720    199.220     13.100     32.390   -129.510    -16.360
      5.643      6.720    189.150     11.690     23.430   -151.550    -21.430
      5.714      8.010    177.370      9.800     10.160   -177.170    -29.960
      5.786      8.130    163.160      6.930    -12.110   -223.040    -50.330
      5.857      4.180    144.650      1.520   -171.460   -232.750    -88.060
      5.929     -4.480    135.280     -0.870    -81.530    -70.570    -14.640
      6.000     -6.920    132.080     -0.130     24.460    -33.730     22.820
      6.071     -4.910    131.820      2.010     79.700     -1.370     49.450
      6.143      0.240    133.610      5.180    125.360     41.680     71.910
      6.214      8.260    138.270      9.700    192.660    139.510    118.650
      6.286     21.770    144.430     19.310     36.320    -44.740     31.970
      6.357     23.010    140.010     18.780     39.110    -52.160     18.730
      6.429     25.360    138.030     19.940     42.100    -29.170     19.260
      6.500     28.880    136.770     22.190     40.210    -20.340     23.230
      6.571     31.590    134.890     24.020     41.900    -30.150     21.940
      6.643     34.770    133.240     26.780     40.650    -23.560     34.830
      6.714     37.720    131.520     29.880     38.390    -26.530     32.240
      6.786     40.270    129.510     32.360     40.610    -27.720     39.040
      6.857     43.090    127.190     34.600     42.060    -30.040     30.000
      6.929     45.820    124.730     36.440     42.180    -29.440     23.290
      7.000     48.600    122.320     38.490     38.210    -26.770     22.940
      7.071     52.380    118.910     40.820     39.060    -25.210     30.170
      7.143     55.160    117.420     42.430     31.990    -24.270     23.380
      7.214     57.780    115.810     43.780     34.060    -24.560     19.390
      7.286     60.380    114.100     45.220     33.020    -25.050     23.060
      7.357     62.910    112.270     46.880     33.200    -26.050     22.550
      7.429     65.310    110.390     48.840     28.810    -24.370     27.550
      7.500     67.450    108.560     50.740     27.210    -23.350     27.740
      7.571     69.550    106.650     52.470     28.210    -28.300     25.030
      7.643     71.560    104.710     54.110     31.500    -26.510     29.160
      7.714     73.480    103.090     55.720     28.820    -20.790     24.720
      7.786     75.230    101.740     56.930     27.230    -20.790     19.620
      7.857     77.250    101.290     58.350     29.560    -18.630     18.910
      7.929     79.480     99.950     59.760     32.870    -18.930     16.620
      8.000     81.810     98.480     60.880     37.790    -15.770     20.330
      8.071     84.440     97.320     62.440     36.460    -18.500     23.960
      8.143     87.180     96.100     64.030     39.210    -20.760     22.160
      8.214     89.730     94.810     65.650     37.930    -16.470     30.920
      8.286     92.480     93.740     67.780     42.160    -16.430     36.840
      8.357     95.270     92.300     70.140     40.400    -24.500     36.310
      8.429     97.920     90.660     72.530     37.210    -23.010     36.690
